,text,code,party,label,party_code
0,"As we come together to declare our vision as Democrats, we are mindful that the challenges of our times are new and profound.",0,D,,0
1,"This November, the choice we face as Americans may have more impact on our people and our place in the world than any in our lifetimes.",0,D,,0
2,"We approach this task with a seriousness that matches the challenges before us, but also with a profound optimism about our future - an optimism that springs from our great faith in America, and our great pride in what it means to be Americans.",0,D,,0
3,We know the stakes are immeasurably high.,0,D,,0
4,"For the first time in generations, we have been attacked on our own shores.",0,D,,0
5,"Our brave men and women in uniform are still in harm's way in Iraq, Afghanistan, and the war against terror.",0,D,,0
6,"Our alliances are frayed, our credibility in doubt.",0,D,,0
7,Our great middle class is hard-pressed.,704,D,middle class and prof. groups,0
8,"Millions of Americans have lost their jobs, and millions more are struggling under the mounting burden of life's everyday costs.",704,D,middle class and prof. groups,0
9,"In Washington, the President and his allies stubbornly press on, without regard to the needs of our people or the challenges of our times.",0,D,,0
10,It is time for a new direction.,0,D,,0
11,"John Kerry, John Edwards and the Democratic Party bring a new vision for America - strong at home, respected abroad.",0,D,,0
12,"An America that offers opportunity, rewards responsibility, and rejoices in diversity.",0,D,,0
13,"We have a plan to build a strong, respected America: protecting our people, rebuilding our alliances, and leading the way to a more peaceful and prosperous world.",0,D,,0
14,"We have a plan to build a strong, growing economy: creating good jobs, rewarding hard work, and restoring fiscal discipline.",404,D,economic planning,0
15,"We have a plan to help our people build strong, healthy families: securing quality health care, offering world-class education, and ensuring clean air and water.",0,D,,0
16,"And we will honor the values of a strong American community: widening the circle of equality, protecting the sanctity of freedom, and deepening our commitment to this country.",201,D,freedom & human rights,0
17,"In offering this vision, we affirm our faith in the greatness of America.",0,D,,0
18,"We recommit to the ideal of a people united in helping one another, an ideal as old as the faiths we follow and as great as the country we love.",0,D,,0
19,"To those who are threatened, we pledge protection; to those who are victims, we promise justice; to those who are hopeless, we offer hope.",0,D,,0
20,"And to all Americans who seek a better future for themselves, for their loved ones, and for our country, we say: your cause is our own.",0,D,,0
21,That is the America we believe in.,0,D,,0
22,That is the America we are fighting for.,0,D,,0
23,"That is the America we will build together - one nation, under God, indivisible, with liberty and justice for all.",0,D,,0
24,"Alone among nations, America was born in pursuit of an idea - that a free people with diverse beliefs could govern themselves in peace.",201,D,freedom & human rights,0
25,"For more than a century, America has spared no effort to defend and promote that idea around the world.",201,D,freedom & human rights,0
26,"And over and over, that effort has been marked by the exercise of American leadership to forge powerful alliances based on mutual respect with longtime allies and reluctant friends; with nations already living in the light of democracy and with peoples struggling to join them.",101,D,foreign special +,0
27,"The might of our alliances, coupled with the strength of our democratic ideals, has been a driving force in the survival and success of freedom - in two World Wars, in the Korean War, in the Cold War, in the Gulf War and in Kosovo.",202,D,democracy,0
28,America led instead of going it alone.,305,D,political authority,0
29,"We extended a hand, not a fist.",107,D,internationalism +,0
30,We respected the world - and the world respected us.,107,D,internationalism +,0
31,"As Americans, we respect and honor our veterans.",706,D,non-economic demographic groups,0
32,We are indebted to all those courageous men and women who have answered our country's call to duty.,706,D,non-economic demographic groups,0
33,"Their service and sacrifice, their dedication and love of country advance our cause of freedom and uphold our finest traditions as a nation.",706,D,non-economic demographic groups,0
34,That is the America we believe in.,0,D,,0
35,That is the America we are fighting for.,0,D,,0
36,And that is the America we can be.,0,D,,0
37,But the Bush Administration has walked away from more than a hundred years of American leadership in the world to embrace a new - and dangerously ineffective - disregard for the world.,305,D,political authority,0
